A305	EZE,DORVO
UT659	BISOG,ECA,OGTUR,DALDU,ASADO,DAKAX
UT662	DIL,SIGUL,PUGLI,SUSDA,VUPNI,SALVU,ASKAS,UTNOS,GRA
UT667	GEMSU,PAMEX,NAIDE,DOKBA
UT670	DOZ,KAMUV,SIPOM,VUGMA,KOVUN,RAXUR,UDUPA,ENTIB,PULGA,SNT
UT671	MIBAS,EGIKA
UT672	JUJ,ASODO,VADUN,GAVEX,ESPER,DADMI,ERE,ROMUR,ISOPO,ROS,MULTA
UT675	TUC,ILPAR,JUJ
UT677	DADMI,MUDUL,ILPAR,SAL
UT680	ERE,VULEK,EDVIK,ANGEN,TUC
UT681	PONPI,ENRID,PUBER
UT682	PAR,TODES,AKSAS,OGTEL,PULEN,TIGDI,POS
UT685	MOCHO,SOSKU,GEGAT,USVER,ETALU,MULBO,GEDUN,VUGMA,ISIPO,VAKUX,KUGSU,VURAK,ALDEX
UT687	TOSOR,ASOLO,MUMAT,UMKAL
UT688	DOZ,ASOLO,ANLIS,LOLIV,MULBO,SINAL,VUMUD,ANDUD,MILAX,VUSAP,LIXOR,DIL
UT691	GEKAL,ROLIM,LAR
UT693	BCA,SANBU,LOMUS,ILPOT,TRE
UT694	GBE,GEGEP,XODIK,IREMO
UT700	SIMES,PADOG,MUMSA,GESNI,IREXA,VUMUD,OSA,ENRIL,KIKIN,EGOKO,VAKAP,POTRO,TRE,SIPOB,ORIKA,KUKAS,DONBO,TIRGA,GUDUX
UT704	ASKAS,ASGEN,DABLI
UT705	ROS,KIKIP,XOPIS,ENTIB,OGSAN,ARMUP,NINSI,PADIT,ESNIM,BUTMO,OSA
UW14	POS,BITUS,MASDO,UROLI,DAMIS,RTA,DANRU,IREKA,ERE
UW15	CAT,LITOR,POVNA,SIBOL,CBA,VUROT,SIMES,KOSNO,LYE,PADIT,LOGAM,IRASU,SIKAR,EGANI,DIL,MDP
UW16	LAR,UBSOX,DADEB,ETEPO,CBA
UW18	ATITO,XODIK,MOXAN,BCA,SANBU,VIE
UW2	ROS,GUA
UW20	ROS,PAR,GEGUS,RTA,OPKAN,SIS
UW22	BCA,PULAS,LIXOR,EGANI,VALOS,GEBEM,EZE
UW23	ISIPO,UIS,EDRIS,LOLIV,SRA,MLG
UW24	JUA,ORABA,PAMAK,CBA,UTRAX,MJZ,KIKIP,UDITA,MULTA,SNT
UW26	BAR,LIMAY,EGUNO,NEU
UW29	EZE,GBE,VOTRA,MDP
UW3	TUC,SORTI,CAT,KAKAN,LAR,GILSA,JUA,MEBRA,DOZ
UW30	NEU,KOMVI
UW31	MDP,PULPA,TENIL,PTA
UW32	MDP,SIGUL,DOTRI,BCA,DAMIN,EGOKO,ARVOV,ROPON,NEU,CHP
UW33	MDP,POSTI,DONED,KORGA,VIE,LOMUS,SEMGA,ATOMO,PUNOL,BAR
UW34	BCA,GENAX,EKOPA,ORERA,BAR
UW37	NEU,ARVET,GEGAT,SRA,ESITO
UW38	TRE,PAKAL,NITLO,ATIRA,BAR
UW39	CRV,EGEGU,IROLA,ATAKO,BAR
UW40	TRE,VUVPU,ELADA,IROLA,ESQ
UW41	BIXIM,TOPIL,OEL,OTADO,NITLO,ESQ
UW42	MUBES,GRA,KEXOP,USU
UW44	JUA,MEBRA,NIRTA,DOZ,ESITO,KOTNI,MLG,VUGDU,MOCHO,CHATO,BAR,TORES,ESQ
UW45	CRV,SJU,GEMDO,SASTA,GRA
UW48	ECA,ASOPA,BOKUK,CRV
UW5	FDO,ATOVO,PEDRO,ROS,TIPLO,ASISA,CBA,DONKA,SUKPA,UMPOX,OSILI,IMBOL,TUC,PONPI,SAL
UW52	DEVIS,BUVOK,ECA
UW6	MUDUL,SDE,ANDEG,PUNGU,LOGET,CBA,GENAS,VAPES,PAR
UW62	OSA,GPI,EDNAP,LYE
UW63	USU,UGIRA,LOKEN,MUBES
UW68	GPI,BUTMO,ANDUD,IRASU,BODIR,ASADA,EZE
UW73	OSA,IRASU
UW8	FDO,BIVAM,UGALA,PAR,GAVAM,ERE
UZ102	TIPLO,MAVBI,OSUDA,SUKPA,ITELA,CAT
UZ103	DALAB,ATIPI,RIOKA,AKSAS,SOTSA,MASDO,REPAM
UZ105	CBA,ALDEX,KOPSI,SOLER,ROGOD,UMKAL
UZ108	TUC,SORTI,LAR,GILSA,OGNOP,ROGOD,MUMAT,ESITO,KOTNI,MLG,VUGDU,MOCHO,CHATO,BAR,TORES,ESQ
UZ109	BAR,LIMAY,EGUNO,DILOG,ISMIL
UZ111	CBA,GENAS,VAPES,PAR
UZ112	PUBUM,UREVI,VADUN,MUDUL,SDE,ANDEG,PUNGU,LOGET,CBA
UZ113	CBA,VUROT,SIMES,ELABO,UDUPA,NINSI,IRASU,SIKAR,EGANI,DIL,MDP
UZ116	DAKAX,ORBAL,MOTNO,ASOPA,ECA
UZ117	GBE,DIL,DONED,PULNA,TOGNO,PADIM,KUKAS,GEMDO,IRAVU
UZ120	TUC,ENRID,MUDUL,ESPER,ESLED,BUPLA,SOVLI,SIS,UROLI,SOTSA,OGTEL,GEMSU
UZ122	ANKON,VUGDU,SOSKU,GIDPI,UGAGI,NEU
UZ124	ARPAS,FSA,DIGET,SIS
UZ125	ALDEX,SRC,ISIPO
UZ127	OSEKO,OSA
UZ128	GUVOL,MEBRA,PAMAL,PAMAK,CBA
UZ129	GUA,PAGON
UZ130	MUBES,GRA,KEXOP,USU
W11	GUA,PAGON
W13	PAL,NEPIS,NIN
W14	ERE,IREKA,USEPA,RTA,ASELO,DAMIS,UROLI,BITUS,DAGRA,POS
W15	CAT,LITOR,SIBOL,CBA,SIMES,LYE
W16	LAR,AKRAS,UMKAD,DADEB,ETEPO,CBA
W18	PTA,GBE,KALIM,DIL,ATITO,MOXAN,BCA,SANBU,USESA,VIE,KIGIR,MIGUS,TRE,GATUD,ROMAX,CRV,ANDEX,SJU,IRAVU
W20	SIS,OPKAN,ITADO,RTA,ASGAS,GEGUS,CABAL,PAR,DABOT,ROS,VASAL,MULTA
W21	SVO,MUPIS,ROS
W22	BCA,PULAS,EGANI,VALOS,GEBEM,EZE
W23	ALDEX,IRATI,SRC,EGAKU,ISIPO,UIS,EDRAL,LOLIV,OPRIL,SRA,DIGER,DIKIS,MLG
W24	JUA,KIBUN,ORABA,PAMAK,CBA,UTRAX,MJZ,UDITA,MULTA,SNT,FDO
W25	OPTIR,GEMOP,CBA
W26	BAR,LIMAY,EGUNO,DAMBA,ARTOK,NEU
W27	PTA,KOVUK,PDI,ISTER,SORSI,DIL
W28	DIL,ESURO,MDP
W29	EZE,GBE,VOTRA,MDP
W30	NEU,EGOBO,KOMVI
W31	PULPA,TENIL,PTA
W32	MDP,SIRAN,EGIMA,DOTRI,BCA,DAMIN,EGOKO,ARVOV,ROPON,NEU,PORPA,EKOTA,CHP,ALGIL,BAR
W33	MDP,ROGAS,KORGA,SILUS,VIE,LOMUS,SEMGA,ATOMO,PUNOL,BAR
W34	BCA,GENAX,PULKA,EKOPA,ORERA,BAR
W37	NEU,KOTOG,ARVET,ISEGA,SRA,OPTUL,ESITO
W38	TRE,SILAN,PAKAL,NITLO,ATIRA,BAR
W39	CRV,EGEGU,IROLA,ATAKO,BAR
W40	TRE,EKATO,ELADA,IROLA,ASUTO,ESQ
W41	NITLO,OPLAS,ESQ
W42	MUBES,GRA,KEXOP,USU
W45	SJU,KULIT,SASTA,GRA
W48	ECA,ASOPA,BOKUK,GILVO,CRV
W49	CRV,BODUN,ORUDO
W5	FDO,ATOVO,PEDRO,ESKON,ROS,TOLUK,TIPLO,ASISA,CBA,DONKA,SUKPA,ANSIG,IMBOL,TUC,PONPI,SAL
W52	DEVIS,BUVOK,KIBAR,ECA
W55	ROS,GEDUK,MJZ
W59	PTA,TEDAR,ISTER,EKEMO,MUDNO,GES
W6	SDE,VUPRO,ANDEG,LOGET,CBA,GENAS,VAPES,PAR,ESKAD,PEDRO,SNT
W60	GES,PULPA
W61	SIKAR,PABEV,KOTUK,OSA
W62	OSA,XIXOS,GPI,EDNAP,LYE
W63	USU,UGIRA,LOKEN,MUBES,KADEB,ILPIK
W64	DOZ,KAMUV,VADON
W66	PAMAL,ISUSA,JUA
W67	BCA,AKNOS,OGLER,OSA
W68	SRA,SATRA,UTRET,GPI,IRASU,BODIR,ASADA,EZE
W69	CBA,MAVBI,DOPRI
W7	TUC,BITIS,BUPLA,GUKAS,SIS
W70	SISAP,DIKOR,PUBER,TUC
W71	LOLIV,ANLIS,DOSLO,DOZ
W72	ROS,VUMKI,XOPIS,ARMUP
W73	OSA,TIMKU,IRASU
W74	EZE,LANDA,GUA
W8	FDO,BIVAM,UGALA,PAR,GAVAM,ERE,VULEK,EDVIK,ANGEN,TUC
Z102	SUKPA,ITELA,CAT
Z104	ISIPO,ERUTU,ALDEX
Z109	LIMAY,EGUNO,DILOG,ISMIL
Z110	SIS,BURSA,DAMIS,KILIP,TODES,IMBAK,DALAB,GUA
Z116	DAKAX,ORBAL,SEBNI,MOTNO,ASOPA,ECA
Z118	SAL,TEGAV,ILSAS,OPTES,PANOT,SIS
Z119	DOZ,MEBRA,ASOTA,GILSA,DAMAP,LAR,KAKAN,CAT
Z120	TUC,BITIS,BUPLA,GUKAS,SIS,VUMGO,UROLI,GEMSU
Z121	DADEB,SIBOL
Z122	ANKON,VUGDU,SOSKU,GIDPI,UGAGI,NEU
Z123	CRV,XOLUD,ILKOR,SEBNI
Z130	MUBES,GRA,KEXOP,USU
Z132	TUC,ILTAV,TEGAV
Z159	PAMAK,SOLER
Z160	PULOV,GEMOP
